X	103614	408582	X1A	0.6089809997139846
X	408583	660483	X1B	0.0
X	660484	831096	X1C	115.48732806924836
X	831097	991047	X1D	0.0
X	991048	1254809	X1E	0.0
X	1254810	1368552	X1F	0.0
X	1368553	1475668	X2A	0.0
X	1475669	1972106	X2B	0.15599125654103463
X	1972107	2083108	X2C	0.0
X	2083109	2173102	X2D	0.0
X	2173103	2223441	X2E	0.0
X	2223442	2328357	X2F	0.0
X	2328358	2666234	X3A	0.0
X	2666235	2804155	X3B	0.0
X	2804156	3312265	X3C	0.0
X	3312266	3614212	X3D	0.0
X	3614213	3765077	X3E	2.3398688481155197
X	3765078	3955446	X3F	2.051965698326652
X	3955447	4115668	X4A	0.0
X	4115669	4333243	X4B	133.27726921426296
X	4333244	4749023	X4C	0.0
X	4749024	4964039	X4D	0.0
X	4964040	5107106	X4E	0.0
X	5107107	5475816	X4F	100.66840788516085
X	5475817	5697152	X5A	0.0
X	5697153	5766002	X5B	0.0
X	5766003	5955320	X5C	0.0
X	5955321	6198961	X5D	0.0
X	6198962	6315088	X5E	0.0
X	6315089	6400665	X5F	0.0
X	6400666	6516900	X6A	88.57908550323067
X	6516901	6585390	X6B	0.0
X	6585391	6779510	X6C	1.1549503976076059
X	6779511	6863445	X6D	0.0
X	6863446	7033898	X6E	1.04096687561348
X	7033899	7150636	X6F	0.0
X	7150637	7286017	X7A	0.0
X	7286018	7801642	X7B	0.0
X	7801643	7947829	X7C	0.0
X	7947830	8246254	X7D	0.0
X	8246255	8465638	X7E	0.0
X	8465639	8649406	X7F	0.0
X	8649407	8768350	X8A	0.0
X	8768351	8933649	X8B	0.0
X	8933650	9194655	X8C	0.0
X	9194656	9412383	X8D	0.0
X	9412384	9600460	X8E	0.0
X	9600461	9709556	X8F	0.0
X	9709557	10055610	X9A	105.19215432485085
X	10055611	10401341	X9B	104.82842609941947
X	10401342	10466208	X9C	0.0
X	10466209	10645358	X9D	131.95428787846774
X	10645359	10781790	X9E	0.0
X	10781791	10976635	X9F	0.0
X	10976636	11198803	X10A	0.0
X	11198804	11489173	X10B	39.19778039458951
X	11489174	11607195	X10C	0.0
X	11607196	11728873	X10D	105.19215432485085
X	11728874	11829938	X10E	0.0
X	11829939	11982049	X10F	0.23398688481155197
X	11982050	12525916	X11A	0.0
X	12525917	12772075	X11B	0.0
X	12772076	12836466	X11C	0.0
X	12836467	13113649	X11D	0.46797376962310394
X	13113650	13346259	X11E	0.0
X	13346260	13461045	X11F	0.0
X	13461046	13646537	X12A	0.0
X	13646538	13757665	X12B	0.0
X	13757666	13903438	X12C	0.0
X	13903439	14080987	X12D	0.0
X	14080988	14510750	X12E	243.39610586031637
X	14510751	14873201	X12F	0.23398688481155197
X	14873202	15131121	X13A	0.0
X	15131122	15372314	X13B	0.0
X	15372315	15522834	X13C	0.0
X	15522835	15592098	X13D	0.07799562827051731
X	15592099	15795006	X13E	0.09899949554397175
X	15795007	15907608	X13F	0.0
X	15907609	16113516	X14A	0.0
X	16113517	16363596	X14B	0.0
X	16363597	16456349	X14C	0.0
X	16456350	16520529	X14D	0.0
X	16520530	16574703	X14E	0.0
X	16574704	16667591	X14F	0.0
X	16667592	16838945	X15A	0.0
X	16838946	16900779	X15B	0.29699848663191525
X	16900780	16969023	X15C	0.0
X	16969024	17066541	X15D	0.0
X	17066542	17157124	X15E	0.0
X	17157125	17293689	X15F	0.0
X	17293690	17472087	X16A	0.0
X	17472088	17678210	X16B	1.3439852030686956
X	17678211	17776521	X16C	0.0
X	17776522	17841787	X16D	0.0
X	17841788	17883261	X16E	0.0
X	17883262	18168379	X16F	88.26710299014859
X	18168380	18419763	X17A	0.0
X	18419764	18502714	X17B	0.0
X	18502715	18653462	X17C	0.0
X	18653463	18803707	X17D	112.15438876967339
X	18803708	18858040	X17E	0.8279838580753824
X	18858041	18936074	X17F	0.0
X	18936075	19200032	X18A	0.0
X	19200033	19295064	X18B	0.0
X	19295065	19555536	X18C	0.0
X	19555537	19676126	X18D	0.5459693978936212
X	19676127	19747669	X18E	0.0
X	19747670	19887081	X18F	0.5729931059903761
X	19887082	20068757	X19A	222.08045935816497
X	20068758	20160523	X19B	0.0
X	20160524	20413490	X19C	0.07799562827051731
X	20413491	20604985	X19D	0.5459693978936212
X	20604986	21086629	X19E	3.755829838631432
X	21086630	21377455	X19F	2.9999529192194605
X	21377456	21675680	X20A	212.1423513574162
X	21675681	22371346	X20B	188.9247236877775
X	22371347	22597814	X20C	6.995920634701939
X	22597815	22716656	X20D	115.78432655588028
X	22716657	22835497	X20E	0.0
X	22835498	23013760	X20F	140.47640865845742
2L	22222	324485	2L21B	0.0
2L	324486	464653	2L21C	0.0
2L	464654	518418	2L21D	0.0
2L	518419	1086654	2L21E	0.0
2L	1086655	1326937	2L21F	0.0
2L	1326938	1698637	2L22A	0.0
2L	1698638	2027808	2L22B	0.0
2L	2027809	2132199	2L22C	0.0
2L	2132200	2298835	2L22D	0.0
2L	2298836	2425049	2L22E	0.0
2L	2425050	2564558	2L22F	0.0
2L	2564559	2790737	2L23A	0.0
2L	2790738	2875792	2L23B	0.0
2L	2875793	3066730	2L23C	0.0
2L	3066731	3218266	2L23D	0.0
2L	3218267	3370087	2L23E	0.0
2L	3370088	3526909	2L23F	0.0
2L	3526910	3666352	2L24A	0.0
2L	3666353	3698876	2L24B	0.0
2L	3698877	3912565	2L24C	0.0
2L	3912566	4225489	2L24D	0.0
2L	4225490	4397910	2L24E	0.0
2L	4397911	4537964	2L24F	0.0
2L	4537965	4842676	2L25A	0.0
2L	4842677	5006014	2L25B	0.0
2L	5006015	5213649	2L25C	0.0
2L	5213650	5372874	2L25D	0.0
2L	5372875	5572913	2L25E	0.0
2L	5572914	5831061	2L25F	0.0
2L	5831062	5980164	2L26A	0.0
2L	5980165	6233012	2L26B	0.0
2L	6233013	6384431	2L26C	0.0
2L	6384432	6514155	2L26D	0.0
2L	6514156	6583040	2L26E	0.0
2L	6583041	6687691	2L26F	0.0
2L	6687692	6746143	2L27A	0.0
2L	6746144	6839038	2L27B	0.0
2L	6839039	6969877	2L27C	0.0
2L	6969878	7069441	2L27D	0.0
2L	7069442	7277616	2L27E	0.0
2L	7277617	7445305	2L27F	0.0
2L	7445306	7548020	2L28A	0.0
2L	7548021	7644956	2L28B	0.0
2L	7644957	7820556	2L28C	0.0
2L	7820557	8060238	2L28D	0.0
2L	8060239	8168304	2L28E	0.0
2L	8168305	8254275	2L28F	0.0
2L	8254276	8340270	2L29A	0.0
2L	8340271	8387293	2L29B	0.0
2L	8387294	8454356	2L29C	0.0
2L	8454357	8536704	2L29D	0.0
2L	8536705	8761614	2L29E	0.0
2L	8761615	9059863	2L29F	0.0
2L	9059864	9362423	2L30A	0.0
2L	9362424	9589828	2L30B	0.0
2L	9589829	9785847	2L30C	0.0
2L	9785848	9880189	2L30D	0.0
2L	9880190	9920729	2L30E	0.0
2L	9920730	10033194	2L30F	0.0
2L	10033195	10170693	2L31A	0.0
2L	10170694	10280567	2L31B	0.0
2L	10280568	10297297	2L31C	0.0
2L	10297298	10391524	2L31D	0.0
2L	10391525	10472969	2L31E	0.0
2L	10472970	10557961	2L31F	0.0
2L	10557962	10774975	2L32A	0.0
2L	10774976	10929250	2L32B	0.0
2L	10929251	11021965	2L32C	0.0
2L	11021966	11169360	2L32D	0.0
2L	11169361	11372970	2L32E	0.0
2L	11372971	11680785	2L32F	0.0
2L	11680786	11901327	2L33A	0.0
2L	11901328	12053550	2L33B	0.0
2L	12053551	12118065	2L33C	0.0
2L	12118066	12313074	2L33D	0.0
2L	12313075	12581605	2L33E	0.0
2L	12581606	12778076	2L33F	0.0
2L	12778077	13241340	2L34A	0.0
2L	13241341	13428842	2L34B	0.0
2L	13428843	13702162	2L34C	0.0
2L	13702163	13858651	2L34D	0.0
2L	13858652	14003468	2L34E	0.0
2L	14003469	14129305	2L34F	0.0
2L	14129306	14364252	2L35A	0.0
2L	14364253	15063839	2L35B	0.0
2L	15063840	15271253	2L35C	0.0
2L	15271254	15968241	2L35D	0.0
2L	15968242	16209133	2L35E	0.0
