1,103615,1368552,0.0109
2,1368553,2328257,0.0000
3,2328358,3955446,0.0036
4,3955447,5475816,0.0036
5,5475817,6400665,0.0018
6,6400666,7150636,0.0072
7,7150637,8649406,0.0182
8,8649407,9709556,0.0528
9,9709557,10976635,0.0619
10,10948225,11982049,0.1057
11,12772076,13461045,0.0728
12,13461046,14873201,0.1967
13,14873202,15907608,0.0273
14,15907609,16667591,0.0036
15,16667592,17293689,0.0036
16,17293690,18168379,0.0054
17,18168380,18936074,0.0036
18,18926075,19887081,0.0090
19,19887082,21377455,0.0054
20,21377456,23013760,0.0036
