X1A	0.0091
X1B	0.0018
X1C	0.000
X1D	0.000
X1E	0.000
X1F	0.000
X2A	0.000
X2B	0.000
X2C	0.000
X2D	0.000
X2E	0.000
X2F	0.000
X3A	0.000
X3B	0.000
X3C	0.000
X3D	0.0018
X3E	0.000
X3F	0.0018
X4A	0.000
X4B	0.000
X4C	0.000
X4D	0.0018
X4E	0.0018
X4F	0.000
X5A	0.000
X5B	0.000
X5C	0.0018
X5D	0.000
X5E	0.000
X5F	0.000
X6A	0.0018
X6B	0.0018
X6C	0.0018
X6D	0.0018
X6E	0.000
X6F	0.000
X7A	0.0073
X7B	0.0055
X7C	0.0036
X7D	0.000
X7E	0.000
X7F	0.0018
X8A	0.0036
X8B	0.0128
X8C	0.0091
X8D	0.0018
X8E	0.0218
X8F	0.0036
X9A	0.04190
X9B	0.0018
X9C	0.0055
X9D	0.0073
X9E	0.0018
X9F	0.0036
X10A	0.0291
X10B	0.0565
X10C	0.0073
X10D	0.0073
X10E	0.0055
X10F	0.000
X11A	0.0
X11B	0.0
X11C	0.0692
X11D	0.000
X11E	0.0036
X11F	0.000
X12A	0.0401
X12B	0.0182
X12C	0.0091
X12D	0.0128
X12E	0.0018
X12F	0.1056
X13A	0.0091
X13B	0.0073
X13C	0.0055
X13D	0.0036
X13E	0.000
X13F	0.0018
X14A	0.0018
X14B	0.0018
X14C	0.000
X14D	0.000
X14E	0.000
X14F	0.000
X15A	0.000
X15B	0.0018
X15C	0.000
X15D	0.0018
X15E	0.000
X15F	0.000
X16A	0.0018
X16B	0.000
X16C	0.0018
X16D	0.0018
X16E	0.000
X16F	0.000
X17A	0.0036
X17B	0.000
X17C	0.000
X17D	0.000
X17E	0.000
X17F	0.000
X18A	0.0018
X18B	0.0036
X18C	0.0036
X18D	0.000
X18E	0.000
X18F	0.000
X19A	0.0018
X19B	0.000
X19C	0.000
X19D	0.000
X19E	0.0036
X19F	0.000
X20A	0.000
X20B	0.000
X20C	0.000
X20D	0.0036
X20E	0.000
X20F	0.000
